,Code,lng,lat
123,NZL,172.70192609451473,-41.662578685033644
124,OMN,56.098672807132026,20.611174318316188
125,PAK,69.41399808627126,29.97346004255049
126,PAN,-80.10916482305008,8.530019285800913
127,PER,-74.39180587730088,-9.191562965945675
128,PHL,122.90267236651442,11.763799338463123
129,PNG,145.3175745349752,-6.451644565279896
130,POL,19.31101431086566,52.14826030557406
131,PRI,-66.47922257377317,18.237224722054247
132,PRK,127.16501682893403,40.14302104546928
133,PRT,-8.055765653987546,39.63404967691429
134,PRY,-58.38738769647533,-23.248042095447325
135,QAT,51.18350260887302,25.321851009758305
136,ROU,24.943252307608724,45.857100987775276
137,RUS,96.87522333795974,61.98084070468222
138,RWA,29.91896589696581,-2.013515564416977
139,ESH,-12.137831279237792,24.291172849913757
140,SAU,44.51636382661863,24.123289795583638
