"season","driver","car","track","direction","grand_prix","date","position","player_name","player_time","points","screenshot_link"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,1,"rpodcast","03:18:416",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,2,"Wimpy","03:18:482",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,3,"FrenchguyCH","03:19:264",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,4,"bigpod","03:23:067",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,5,"TwoD","03:23:612",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,6,"bigcalm","03:32:364",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","toshiro","furious","casino_run","normal","racing_elite",2021-02-21,7,"madhens","03:43:846",6,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-casino_run-normal/2021_gp1-2021-02-21-racing_elite-casino_run-normal.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,1,"FrenchguyCH","03:13:797",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,2,"Wimpy","03:14:159",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,3,"bigcalm","03:15:040",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,4,"TwoD","03:16:774",9,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,5,"rpodcast","03:21:499",8,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,6,"madhens","03:23:344",7,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","dino_dash","mirrored","racing_elite",2021-02-21,7,"bigpod","DNF",0,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored/2021_gp1-2021-02-21-racing_elite-dino_dash-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,1,"Wimpy","02:35:872",12,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,2,"FrenchguyCH","02:37:029",11,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
"2021_gp1","viktor","el_toro","heated_highway","mirrored","racing_elite",2021-02-21,3,"bigcalm","02:37:586",10,"https://raw.githubusercontent.com/rpodcast/hotshots.pinboard/master/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored/2021_gp1-2021-02-21-racing_elite-heated_highway-mirrored.png"
